treat,saw_ads,sales,past_sales,female
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,1,0,5.6900001,1
1,1,0,0,0
0,0,0,0,1
0,1,0,0,1
0,1,0,0,0
0,0,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,1
0,1,0,0,1
1,1,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,19.24,0,1
1,1,6.4099998,0,1
0,1,0,3.05,0
0,0,22.559999,21.459999,1
1,1,0,0,1
1,1,0,0,0
1,0,0,0,0
0,1,5.8899999,0,1
1,1,6.52,0,0
1,1,0,0,1
0,1,0,0,1
1,1,5.8400002,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,0
0,1,0,0,1
1,1,0,0,0
0,0,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
0,1,6.7199998,0,0
1,1,0,0,1
1,1,0,0,0
0,0,0,0,1
0,1,0,0,1
1,1,0,0,1
1,1,0,6.5799999,0
1,0,7.1799998,0,1
0,0,0,0,0
0,1,0,0,1
1,1,0,0,0
1,0,0,0,0
0,1,0,0,0
1,1,3.3199999,0,0
0,1,0,5.4299998,1
1,1,0,0,1
1,1,6.6599998,0,1
1,0,0,0,1
1,1,0,0,1
0,0,11.97,0,1
1,1,0,0,0
1,1,0,0,1
1,0,0,0,1
1,1,0,0,0
1,1,6.0500002,0,1
1,1,0,0,1
1,1,0,0,0
1,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,0,0,0,0
0,1,0,0,0
1,1,7.2600002,0,1
0,0,0,15.53,1
0,1,0,0,1
0,1,4.96,0,1
0,0,0,0,1
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,0,0,0,0
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,0,0,0,0
1,0,8.4499998,0,1
1,1,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,7.27,0
1,0,0,8.21,1
0,1,0,0,1
1,1,10.16,0,1
1,0,0,0,0
1,0,7.5100002,0,0
1,0,0,0,1
1,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,0,0,1
1,1,0,0,1
1,1,0,0,0
1,0,0,0,0
0,1,0,7.0999999,1
1,1,8.3800001,0,1
1,1,0,0,0
1,1,0,0,0
0,1,0,0,0
1,1,7.73,0,1
1,0,0,0,1
1,1,0,0,1
1,1,0,0,0
1,0,0,0,1
0,1,0,0,1
1,1,0,8.1300001,1
1,1,0,0,0
0,1,0,0,0
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0,0,0,0,0
1,1,0,0,1
1,1,0,0,0
0,1,0,0,1
1,1,0,0,1
0,0,0,0,1
1,0,0,0,1
1,1,0,0,1
0,1,0,0,0
1,1,0,0,1
